Date;Product;URL;Currency;Country Name;Country Code;Country Currency;Price;Exchange Rate;Price in USD;Price in EUR
12/01/25;BILLY Bookcase white 80x28x202 cm;https://www.ikea.com/ae/en/p/billy-bookcase-white-00263850/;Dhs;United Arab Emirates;ae;AED;275,00;3,67;74,87;73,01
12/01/25;BILLY Bookcase white 80x28x202 cm;https://www.ikea.com/ch/de/p/billy-regal-weiss-00263850/;CHF;Switzerland;ch;CHF;69,95;0,92;76,32;74,43
